ENCERRAMENTO;UF;MUNICIPIO;QTE
2021-01-01;AC;RIO BRANCO;2
2021-01-01;GO;GOIANIA;2
2021-01-01;MG;BETIM;1
2021-01-02;BA;BARREIRAS;2
2021-01-02;BA;SALVADOR;1
2021-01-02;CE;FORTALEZA;5
2021-01-02;ES;VITORIA;1
2021-01-02;GO;RIO VERDE;1
2021-01-02;MG;POUSO ALEGRE;1
2021-01-02;PA;MARABA;5
2021-01-02;PE;RECIFE;1
2021-01-02;PR;CURITIBA;6
2021-01-02;SC;BLUMENAU;4
2021-01-04;CE;FORTALEZA;11
2021-01-04;ES;VITORIA;2
2021-01-04;MG;BELO HORIZONTE;7
2021-01-04;PE;OLINDA;1
2021-01-04;PR;CASCAVEL;3
2021-01-04;PR;COLOMBO;16
2021-01-04;RJ;NOVA IGUACU;1
2021-01-04;RJ;RIO DE JANEIRO;11
2021-01-04;RR;BOA VISTA;9
2021-01-04;RS;SANTA MARIA;5
2021-01-04;SC;CRICIUMA;1
2021-01-05;AP;MACAPA;2
2021-01-05;MG;ARAGUARI;2
2021-01-05;PR;PONTA GROSSA;2
2021-01-05;RJ;NITEROI;1
2021-01-05;RO;PORTO VELHO;15
2021-01-05;RS;SAO LEOPOLDO;1
2021-01-06;ES;SERRA;2
2021-01-06;MG;BELO HORIZONTE;4
2021-01-06;PE;OLINDA;2
2021-01-06;PR;CASCAVEL;2
2021-01-06;PR;COLOMBO;4
2021-01-06;RJ;CABO FRIO;5
2021-01-06;RJ;NILOPOLIS;2
2021-01-06;RJ;NOVA IGUACU;5
2021-01-06;RJ;RIO DE JANEIRO;20
2021-01-06;RR;BOA VISTA;17
2021-01-07;MG;ARAGUARI;2
2021-01-07;MG;VESPASIANO;1
2021-01-07;MS;CAMPO GRANDE;1
2021-01-07;MS;DOURADOS;4
2021-01-07;PA;BELEM;10
2021-01-07;PI;PARNAIBA;1
2021-01-07;RJ;NITEROI;3
2021-01-07;RS;CAXIAS DO SUL;8
2021-01-07;RS;SAO LEOPOLDO;2
2021-01-08;AL;MACEIO;1
2021-01-08;ES;SERRA;2
2021-01-08;MG;BELO HORIZONTE;5
2021-01-08;PR;CASCAVEL;1
2021-01-08;PR;COLOMBO;9
2021-01-08;RJ;CABO FRIO;7
2021-01-08;RJ;ITAGUAI;2
2021-01-08;RJ;MESQUITA;1
2021-01-08;RJ;NILOPOLIS;4
2021-01-08;RJ;NOVA IGUACU;3
2021-01-08;RJ;RIO DE JANEIRO;19
2021-01-08;RS;PELOTAS;1
2021-01-09;MA;SAO LUIS;17
2021-01-09;MG;ARAGUARI;3
2021-01-09;MS;CAMPO GRANDE;1
2021-01-09;MS;DOURADOS;3
2021-01-09;PA;BELEM;5
2021-01-09;PI;PARNAIBA;2
2021-01-09;RJ;NITEROI;4
2021-01-09;RN;NATAL;2
2021-01-09;RS;CAXIAS DO SUL;4
2021-01-09;RS;SAO LEOPOLDO;4
2021-01-09;TO;PALMAS;5
2021-01-11;MG;ARAGUARI;1
2021-01-11;MS;DOURADOS;2
2021-01-11;PI;PARNAIBA;1
2021-01-11;PR;PONTA GROSSA;1
2021-01-11;RJ;NITEROI;1
2021-01-11;RS;CAXIAS DO SUL;14
2021-01-11;RS;SAO LEOPOLDO;4
2021-01-12;ES;VITORIA;4
2021-01-12;MG;BELO HORIZONTE;11
2021-01-12;PE;OLINDA;7
2021-01-12;PR;CASCAVEL;2
2021-01-12;PR;COLOMBO;13
2021-01-12;RJ;CABO FRIO;10
2021-01-12;RJ;MESQUITA;1
2021-01-12;RJ;NILOPOLIS;5
2021-01-12;RJ;NOVA IGUACU;6
2021-01-12;RJ;RIO DE JANEIRO;22
2021-01-12;RR;BOA VISTA;15
2021-01-12;RS;PELOTAS;1
2021-01-12;RS;SANTA MARIA;2
2021-01-12;SC;CRICIUMA;2
2021-01-12;SC;FLORIANOPOLIS;1
2021-01-13;AP;MACAPA;6
2021-01-13;GO;GOIANIA;8
2021-01-13;MG;ARAGUARI;1
2021-01-13;MG;CATAGUASES;1
2021-01-13;PR;PONTA GROSSA;3
2021-01-13;RJ;NITEROI;4
2021-01-13;RO;PORTO VELHO;19
2021-01-13;RS;PASSO FUNDO;2
2021-01-14;BA;BARREIRAS;1
2021-01-14;CE;FORTALEZA;6
