UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
RS;CAXIAS DO SUL;CAXIAS DO SUL;2021-04-01;28605
PA;BELEM;BELEM;2021-04-01;54948
MG;NOVA LIMA;SERRA DEL REI;2021-01-01;378
ES;CARIACICA;CARIACICA;2020-12-01;2363
RS;PASSO FUNDO;PASSO FUNDO;2020-08-01;3171
PR;COLOMBO;COLONIA FARIA;2020-12-01;2
PA;BELEM;BELEM;2020-01-01;16831
AM;MANAUS;MANAUS;2020-07-01;32342
MG;POUSO ALEGRE;POUSO ALEGRE;2019-12-01;3310
RJ;TERESOPOLIS;TERESOPOLIS;2021-04-01;5924
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2020-07-01;2689
RJ;QUEIMADOS;QUEIMADOS;2022-01-01;12580
PR;SAO SEBASTIAO DA AMOREIRA;SAO SEBASTIAO DA AMOREIRA;2021-12-01;51
MS;DOURADOS;DOURADOS;2021-11-01;32888
MT;BARRA DO GARCAS;BARRA DO GARCAS;2022-02-01;718
MG;CATAGUASES;CATAGUASES;2019-11-01;1160
BA;JEQUIE;JEQUIE;2020-12-01;5472
ES;SERRA;SERRA;2021-08-01;18623
RJ;PETROPOLIS;PETROPOLIS;2019-05-01;9498
GO;NOVO GAMA;NOVO GAMA;2021-11-01;696
MG;ARAGUARI;ARAGUARI;2019-06-01;1148
MG;CONTAGEM;CONTAGEM;2021-11-01;21767
PR;PINHAIS;PINHAIS;2020-01-01;513
SC;CRICIUMA;CRICIUMA;2019-12-01;1
MG;SETE LAGOAS;SETE LAGOAS;2020-05-01;13021
RJ;PETROPOLIS;CORREIAS;2019-12-01;7
MG;DIVINOPOLIS;DIVINOPOLIS;2021-05-01;22747
SP;SAO PAULO;SAO PAULO;2021-06-01;3263
MG;CATAGUASES;CATAGUASES;2020-11-01;2315
MG;NOVA LIMA;NOVA LIMA;2018-08-01;770
RO;VILHENA;VILHENA;2021-07-01;7283
PE;PAULISTA;PAULISTA;2021-08-01;401
ES;SERRA;CARAPINA;2020-10-01;13
RJ;MESQUITA;MESQUITA;2020-06-01;2761
DF;BRASILIA;SOBRADINHO;2019-07-01;27
SC;RIO DO SUL;RIO DO SUL;2021-12-01;6550
PR;LONDRINA;LONDRINA;2021-04-01;1007
RJ;CASIMIRO DE ABREU;CASIMIRO DE ABREU;2022-02-01;1000
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-04-01;2623
DF;BRASILIA;CEILANDIA;2020-03-01;6
ES;SERRA;SERRA;2021-12-01;23160
MA;IMPERATRIZ;IMPERATRIZ;2021-04-01;30
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2020-10-01;5609
GO;GOIANIA;GOIANIA;2022-02-01;66930
ES;SERRA;CARAPINA;2021-07-01;65
RJ;TERESOPOLIS;TERESOPOLIS;2020-08-01;4437
PR;COLOMBO;MARACANA;2021-03-01;200
RJ;TERESOPOLIS;TERESOPOLIS;2019-08-01;1536
RJ;DUQUE DE CAXIAS;XEREM;2020-12-01;1
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2019-07-01;963
RS;CAXIAS DO SUL;CAXIAS DO SUL;2019-08-01;66
MG;UBA;UBA;2019-12-01;5643
PA;BELEM;BELEM;2019-08-01;2653
MG;LAGOA SANTA;LAGOA SANTA;2022-01-01;2
SE;ARACAJU;ARACAJU;2020-06-01;475
BA;EUNAPOLIS;EUNAPOLIS;2020-06-01;8
RS;CAMAQUA;CAMAQUA;2022-02-01;1163
GO;RIO VERDE;RIO VERDE;2020-01-01;1
BA;BARREIRAS;BARREIRAS;2020-05-01;7870
AM;MANAUS;MANAUS;2021-06-01;58340
RJ;VOLTA REDONDA;VOLTA REDONDA;2021-08-01;24941
RS;SAO LOURENCO DO SUL;SAO LOURENCO DO SUL;2021-12-01;1113
RJ;BARRA MANSA;BARRA MANSA;2021-05-01;3340
TO;PALMAS;PALMAS;2019-12-01;4439
MG;JUIZ DE FORA;JUIZ DE FORA;2020-02-01;9987
RJ;DUQUE DE CAXIAS;XEREM;2021-03-01;1
SC;INDAIAL;INDAIAL;2021-03-01;1
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2020-02-01;20
MG;ARAGUARI;ARAGUARI;2019-04-01;173
